순번,구,가맹점,주소,동
28206,서구,시선음악학원,대전광역시 서구 도솔로 54 (도마동),도마동
29128,서구,시선집중안경원,"대전광역시 서구 문정로 131, 132호 (탄방동,(주)뉴한양프라자)",탄방동
15806,동구,시선집중안경콘텍트,"대전광역시 동구 대학로50번길 53 (용운동,B101호)",용운동
33846,서구,시세이대전점,"대전광역시 서구 동서대로 686, 106호,107호 (도안동,서광타워)",도안동
24010,서구,시스탬,"대전광역시 서구 월평새뜸로 5, 시스탬 (월평동)",월평동
10851,유성구,시스터,"대전광역시 유성구 은구비서로24번길 7, 지상1층 (지족동)",지족동
38640,유성구,시스터,"대전광역시 유성구 죽동로279번길82, 1층 102호 (죽동)",죽동
27303,서구,시스템,"대전광역시 서구 신갈마로 102, 2층 226호 (갈마동,갈마프라자)",갈마동
18389,서구,시스템엘르대전점,"대전광역시 서구 둔산북로 36, 216호 (둔산동,대영프라자)",둔산동
30506,서구,시스티나,"대전광역시 서구 갈마로 200, 1층 101호 (내동)",내동
28318,중구,시아스포츠,대전광역시 중구 부사동 162-1 대전시립수영장,부사동
9482,서구,시애틀,"대전광역시 서구 둔산중로78번길 20, B04호 (둔산동,명진빌딩)",둔산동
25543,중구,시애틀,대전광역시 중구 대둔산로494번길 15 (유천동),유천동
15370,유성구,시애틀모텔,대전광역시 유성구 온천북로 24 (봉명동),봉명동
28335,대덕구,시야축산물종합판매장,"대전광역시 대덕구 중리로54번길 12, 1층 (중리동)",중리동
34495,유성구,시에랑 근적외선 이너뷰티케어센터,"대전광역시 유성구 관들5길 15-4, 1층 (관평동)",관평동
39248,서구,시오리일본어학원,"대전광역시 서구 둔산로8, 701호 (둔산동)",둔산동
19438,서구,시온 아동 발달센터,"대전광역시 서구 도안동로12번길 9, 4층 401호 (가수원동,덕신빌딩)",가수원동
4525,동구,시온 커튼,"대전광역시 동구 중앙로200번길 70, 188주차빌딩상가1층188호~189호 (원동)",원동
23972,대덕구,시온가스충전소,대전광역시 대덕구 신탄진로 737 (신탄진동),신탄진동
8134,중구,시온사,대전광역시 중구 유천2동 350-5,유천동
28354,대덕구,시온상사,"대전광역시 대덕구 계족산로81번길 74, 703호 (송촌동)",송촌동
1343,유성구,시온성 청화반점,"대전광역시 유성구 계룡로60번길 86, 상가동 103호 (구암동,우성햇살아파트)",구암동
28820,대덕구,시온수산,"대전광역시 대덕구 한밭대로 987 (오정동,농수산물도매시장)",오정동
26623,중구,시온식품,대전광역시 중구 용두로24번길 31-16 (용두동),용두동
4750,서구,시온쌀집,대전광역시 서구 도마시장1길 49 (도마동),도마동
11880,서구,시온안경원,"대전광역시 서구 도솔4길 12,1층(도마동)",도마동
8413,동구,시온약국,대전광역시 동구 동대전로 286 (가양동),가양동
23150,서구,시온연합진료,"대전광역시 서구 대덕대로176번길 9, 3층 (둔산동)",둔산동
2940,서구,시온이불,대전광역시 서구 갈마1동 390-22 그랜드프라자215호,갈마동
24845,중구,시온정육점,대전광역시 중구 평촌로105번길 59 (태평동),태평동
8297,대덕구,시온카서비스,대전광역시 대덕구 상서동 200-6,상서동
2905,유성구,시와이미용실남성컷트,"대전광역시 유성구 죽동로297번길 22, 1층 (죽동)",죽동
2814,유성구,시우타일,"대전광역시 유성구 지족로364번길 91, 1층 15,16호 (지족동,경남아너스빌)",지족동
3774,유성구,시원,"대전광역시 유성구 노은서로 2, 1층 102호 (노은동)",노은동
26981,동구,시원척척 재활의학과,"대전광역시 동구 계족로 171, 4,5층 (대동)",대동
8681,서구,시원프린트,"대전광역시 서구 복수동로66번길 56, 1층 102호 (복수동)",복수동
13747,유성구,시원하수구,"대전광역시 유성구 노은동로 187, 605동 1602호 (지족동,열매마을아파트6단지)",지족동
33369,유성구,시원한재활의학과의원,"대전광역시 유성구 계룡로 55, 2층 203, 204, 205, 206호 (봉명동,유성자이)",봉명동
28645,중구,시월애,"대전광역시 중구 보문로68번길 37, 1층 (부사동)",부사동
11842,서구,시월한우곱창,"대전광역시 서구 도안동로11번길 32, 108호 (가수원동,금성빌딩)",가수원동
31623,서구,시유,"대전광역시 서구 계룡로245번길 17, 1층 (월평동)",월평동
38986,서구,시윤푸드,"대전광역시 서구 갈마로103번길36, 상가동 1층 105호 (갈마동,쌍용아파트)",갈마동
26541,유성구,시인과농부,"대전광역시 유성구 노은서로142번길 14, 3층 (지족동)",지족동
16248,서구,시인안마원,"대전광역시 서구 대덕대로162번길 15, 201호 (갈마동,동아프라자)",갈마동
17390,서구,시인의 바다,"대전광역시 서구 신갈마로181번길 5, 1층 (갈마동,1층일부)",갈마동
12945,동구,시작,"대전광역시 동구 동대전로 153, 1층 (자양동)",자양동
3295,유성구,시작독서실,"대전광역시 유성구 테크노4로 119, 401호 (관평동,리치스카이타워)",관평동
3296,유성구,시작스터디카페,"대전광역시 유성구 테크노4로 119, 401호 (관평동,리치스카이타워)",관평동
10459,서구,시작컬러이미지,"대전광역시 서구 도안북로117번길 11, 1층 102호 (도안동,마하)",도안동
